Category	Nutrient	Target population	Age	Gender	AI	AR	PRIs	RI	UL	Safe and adequate intake
Fats	Trans-fatty acids (TFA)	Pregnant women	> 18 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Pregnant women	> 18 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Lactating women	> 18 years	Male	ALAP 	NA 	NA 	NA 	ND 	
Fats	Trans-fatty acids (TFA)	Lactating women	> 18 years	Female	ALAP 	NA 	NA 	NA 	ND 	
Protein	Protein	Infants	7-11 months	Male	NA 	1.12 g/kg bw per day	1.31 g/kg bw per day	NA 	NA 	
Protein	Protein	Infants	7-11 months	Female	NA 	1.12 g/kg bw per day	1.31 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	12-17 months	Male	NA 	0.95 g/kg bw per day	1.14 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	12-17 months	Female	NA 	0.95 g/kg bw per day	1.14 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	18-23 months	Male	NA 	0.85 g/kg bw per day	1.03 g/kg bw per day	NA 	NA 	
Protein	Protein	Children	18-23 months	Female	NA 	0.85 g/kg bw per day	1.03 g/kg bw per day	NA 	NA 	
